Comprehensive Evaluation Results
===============================

Model: ./models/best_model.pth
Dataset Split: validation
Number of Classes: 33

Overall Metrics:
----------------
Pixel Accuracy: 0.7847
Mean IoU: 0.3682
Dice Score: 0.5018

Precision & Recall Metrics:
---------------------------
Macro Precision: 0.5130
Macro Recall: 0.5016
Macro F1-Score: 0.5018
Micro Precision: 0.7847
Micro Recall: 0.7847
Micro F1-Score: 0.7847

Per-Class Detailed Metrics:
---------------------------
Class    IoU      Dice     Prec     Recall   F1      
--------------------------------------------------------
0        0.7999   0.8888   0.8995   0.8783   0.8888  
1        0.2016   0.3355   0.4676   0.2616   0.3355  
2        0.0886   0.1628   0.2243   0.1278   0.1628  
3        0.2554   0.4069   0.5170   0.3354   0.4069  
4        0.3411   0.5087   0.4571   0.5735   0.5087  
5        0.3117   0.4753   0.5969   0.3948   0.4753  
6        0.4870   0.6550   0.7663   0.5719   0.6550  
7        0.6976   0.8219   0.7882   0.8586   0.8219  
8        0.1495   0.2601   0.2342   0.2926   0.2601  
9        0.4039   0.5754   0.5121   0.6566   0.5754  
10       0.3855   0.5565   0.4810   0.6601   0.5565  
11       0.1382   0.2429   0.2690   0.2214   0.2429  
12       0.3329   0.4995   0.5062   0.4930   0.4995  
13       0.3278   0.4938   0.4850   0.5029   0.4938  
14       0.4827   0.6511   0.6417   0.6608   0.6511  
15       0.7333   0.8461   0.8165   0.8780   0.8461  
16       0.3441   0.5120   0.5328   0.4929   0.5120  
17       0.4792   0.6479   0.6486   0.6472   0.6479  
18       0.6078   0.7561   0.7518   0.7604   0.7561  
19       0.2604   0.4132   0.4012   0.4260   0.4132  
20       0.0000   0.0001   0.0002   0.0001   0.0001  
21       0.4501   0.6208   0.5439   0.7229   0.6208  
22       0.1206   0.2153   0.1945   0.2411   0.2153  
23       0.6079   0.7561   0.7497   0.7627   0.7561  
24       0.1132   0.2035   0.2278   0.1838   0.2035  
25       0.2114   0.3490   0.4668   0.2787   0.3490  
26       0.3855   0.5565   0.5877   0.5283   0.5565  
27       0.5056   0.6716   0.6884   0.6556   0.6716  
28       0.7341   0.8467   0.8143   0.8817   0.8467  
29       0.3135   0.4773   0.5060   0.4517   0.4773  
30       0.6674   0.8005   0.7812   0.8209   0.8005  
31       0.0000   0.0000   0.0000   0.0000   0.0000  
32       0.2131   0.3514   0.3722   0.3328   0.3514  
